slenderness,aspect,gradation,porosity,pattern,deltaT,bottomT,pressure,support,etaB,E_exponent,k_exponent,E_scale,alpha_scale,nonlocal_length,material,reference,nx,nz,p,w3,wp,w_error,sx3_max,sxp_max,sx3_abs,sxp_abs,sxpeak_error,sx_error,edge_x,edge_sx_error,edge_sx3_abs,edge_sxp_abs,edge_sz3_abs,txz3_max,txzp_max,txz_error,txz_diff_MPa,txz_error_inplane_scale,sz_error_scale,sx3_peak_zh,sxp_peak_zh,solid_seconds,plate_seconds,solid_residual,plate_residual,w_over_h,case_id,group,screen_pass
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,8,121,5.793565817804936e-05,5.8977265819685173e-05,1.7978696961286202,2.4954001584159093,2.480309116083394,17.274090907418753,17.292550989203253,0.1068657209426179,0.3545832836604728,0.05,31.806471761504774,16.5274945348422,10.739921601426165,1.3481798543118175,0.074163050961164,0.0014317654958072585,98.98734456389914,0.009842019868367635,0.05697561695788433,1.117423152968776,-0.5,-0.5,0.44352236700069625,0.44563342699984787,4.53589361968682e-14,1.9263107994818724e-16,0.0005793565817804936,conv_thickness_8,convergence_thickness,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,16,121,5.793446422507801e-05,5.8977265819685173e-05,1.7999676160908913,2.471871734155645,2.480309116083394,17.309589291465276,17.292550989203253,0.09843273560756433,0.18142329664438456,0.05,31.794932631765064,16.24872352727774,10.739921601426165,1.078060662676834,0.07156968669220826,0.0014317654958072585,98.94455210103564,0.009185304668166307,0.05306483310202335,0.8124930580807501,-0.5,-0.5,0.528095821995521,0.44467747500311816,1.4760271469699978e-13,1.9263107994818724e-16,0.00057934464225078,conv_thickness_16,convergence_thickness,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.7934389119461185e-05,5.8977265819685173e-05,1.8000995886459903,2.4665788556912185,2.480309116083394,17.312519753968655,17.292550989203253,0.11534291396737739,0.1632282089729477,0.05,31.792656453137575,16.062002824419018,10.739921601426165,0.9945997834297022,0.04459564943670001,0.0014317654958072585,98.66792922347916,0.008306911441919775,0.04798210520457869,0.7939237789106399,-0.5,-0.5,0.9286450989966397,0.5636043139966205,4.378460270454643e-13,1.9263107994818724e-16,0.0005793438911946118,conv_thickness_32,convergence_thickness,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,64,121,5.793438436908143e-05,5.8977265819685173e-05,1.8001079358328567,2.465214411512078,2.480309116083394,17.310165246736382,17.292550989203253,0.10175672665198784,0.1625588765520182,0.05,31.782934535321044,16.01033859146378,10.739921601426165,0.9737331652512047,0.053435873428910874,0.0014317654958072585,98.72169424142439,0.008426472102115674,0.04867932790938771,0.7941695390855511,-0.5,-0.5,1.2588947719996213,0.435843619001389,1.421598065538653e-12,1.9263107994818724e-16,0.0005793438436908142,conv_thickness_64,convergence_thickness,False
