slenderness,aspect,gradation,porosity,pattern,deltaT,bottomT,pressure,support,etaB,E_exponent,k_exponent,E_scale,alpha_scale,nonlocal_length,material,reference,nx,nz,p,w3,wp,w_error,sx3_max,sxp_max,sx3_abs,sxp_abs,sxpeak_error,sx_error,edge_x,edge_sx_error,edge_sx3_abs,edge_sxp_abs,edge_sz3_abs,txz3_max,txzp_max,txz_error,txz_diff_MPa,txz_error_inplane_scale,sz_error_scale,sx3_peak_zh,sxp_peak_zh,solid_seconds,plate_seconds,solid_residual,plate_residual,w_over_h,case_id,group,screen_pass
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.7934389119461185e-05,5.8977265819685173e-05,1.8000995886459903,2.4665788556912185,2.480309116083394,17.312519753968655,17.292550989203253,0.11534291396737739,0.1632282089729477,0.05,31.792656453137575,16.062002824419018,10.739921601426165,0.9945997834297022,0.04459564943670001,0.0014317654958072585,98.66792922347916,0.008306911441919775,0.04798210520457869,0.7939237789106399,-0.5,-0.5,0.9286450989966397,0.5636043139966205,4.378460270454643e-13,1.9263107994818724e-16,0.0005793438911946118,pattern_uniform,rq4_pattern,False
10.0,1.0,1.0,0.1,centre,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,6.429443352408103e-05,6.545246154657206e-05,1.8011326315789045,2.721329337717167,2.738373228451118,19.55503265217743,19.527973175335166,0.13837602485032635,0.17943143759227823,0.05,30.765093488594182,20.574631469363595,14.248545336725604,0.920145517309571,0.05507909445588202,0.0016488342512544136,98.70632146081905,0.01017619632554959,0.05203875905784529,0.7271987674859979,-0.5,-0.5,0.8882883750047768,0.4747296360001201,4.3023523522402155e-13,2.30901030013618e-16,0.0006429443352408103,pattern_centre,rq4_pattern,False
10.0,1.0,1.0,0.1,faces,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.1076819120600826e-05,5.201939944850578e-05,1.8454170485428303,2.151815073679879,2.1624382160600026,16.97457546767588,16.960426244710753,0.08335538636632557,0.1472691232572971,0.05,32.71150572022795,12.008333041943391,7.648756844210035,1.121094523571828,0.03528429013310793,0.001232503992116227,98.72481550539084,0.006828122281363211,0.040225584989537905,0.806580576577289,-0.5,-0.5,0.7851572970030247,0.4637757669988787,4.4419328176685735e-13,1.7433624195865823e-16,0.0005107681912060083,pattern_faces,rq4_pattern,False
