slenderness,aspect,gradation,porosity,pattern,deltaT,bottomT,pressure,support,etaB,E_exponent,k_exponent,E_scale,alpha_scale,nonlocal_length,material,reference,nx,nz,p,w3,wp,w_error,sx3_max,sxp_max,sx3_abs,sxp_abs,sxpeak_error,sx_error,edge_x,edge_sx_error,edge_sx3_abs,edge_sxp_abs,edge_sz3_abs,txz3_max,txzp_max,txz_error,txz_diff_MPa,txz_error_inplane_scale,sz_error_scale,sx3_peak_zh,sxp_peak_zh,solid_seconds,plate_seconds,solid_residual,plate_residual,w_over_h,case_id,group,screen_pass
10.0,1.0,1.5105538680947908,0.09759301961884165,uniform,20.0,0.0,0.0,SS,0.0,1.899864964502465,1.188622203776319,1.0367118204656065,0.8869966846937933,0.0,FGM,3D_Fourier_Q2,0,32,121,4.863959963194097e-05,4.997362759540871e-05,2.742678750570354,3.1431338276645002,3.164525583070197,18.21164152787984,18.189991185131333,0.11888188505888125,0.1729305483546514,0.05,26.43025008402881,21.177409241431683,15.815460194680627,0.9188178178056082,0.044166400942152705,0.0018868709630294354,98.53984708897742,0.008254195550228665,0.04532373173276269,0.7425255828368286,-0.5,-0.5,0.8531957560044248,0.43200855200120714,3.7363694785972895e-13,2.326374240210487e-16,0.00048639599631940966,bounded_joint_00,rq4_joint,False
10.0,1.0,0.9657867542773046,0.09122556156387117,uniform,20.0,0.0,0.0,SS,0.0,2.1581693978208523,1.318179459616771,0.8542353103203175,1.1165310994245856,0.0,FGM,3D_Fourier_Q2,0,32,121,6.51354928398562e-05,6.626460817896094e-05,1.7334870588617741,2.2940042590295384,2.3062402165157305,16.41928733362426,16.400428323179675,0.11485888553740262,0.1626047730221184,0.05,32.27274829214256,14.950432304375822,9.882005540741924,0.9518530095681442,0.04254245386943033,0.0013256986582116446,98.68669805858922,0.007922914829567649,0.04825370717117196,0.79807957271108,-0.5,-0.5,0.8389968240007875,0.4415599519998068,4.496726757037817e-13,1.6783485343104963e-16,0.000651354928398562,bounded_joint_01,rq4_joint,False
10.0,1.0,0.5554831838249773,0.0815609416294884,uniform,20.0,0.0,0.0,SS,0.0,1.6093251407405549,0.6039062732840437,1.1126934626735316,1.0036044218763156,0.0,FGM,3D_Fourier_Q2,0,32,121,6.481135157632029e-05,6.545005118368078e-05,0.9854749080620135,2.1458922386964385,2.1657933458814913,17.78629179964977,17.7708671064487,0.08672236672385963,0.15545259277124662,0.05,40.287499430437336,11.999808282264803,6.143463116326822,1.1886628447063954,0.051508687354698476,0.0008486039868909963,99.12181204359923,0.009450741320971333,0.05313497286238551,0.8574732645366284,-0.4875,-0.4875,0.7853298560003168,0.4377864809939638,6.013869560492705e-13,1.4015442534837566e-16,0.0006481135157632028,bounded_joint_02,rq4_joint,False
10.0,1.0,0.6372947438854876,0.07503299702476283,uniform,20.0,0.0,0.0,SS,0.0,1.560345405143997,1.2657926942796796,0.9616435088290226,1.0239930181399755,0.0,FGM,3D_Fourier_Q2,0,32,121,6.470232159070082e-05,6.542889531689115e-05,1.1229484635598501,2.018709318936597,2.03633280371538,16.47067213470503,16.455763706293286,0.09051499714047824,0.15679887684096983,0.05,38.233369405454035,11.989795029285638,6.645692477248569,1.0633181497670563,0.0463241104082805,0.0009217705898783746,98.99548908652675,0.00854591214887632,0.05188563088976433,0.8444601172647408,-0.4875,-0.4875,0.8232963050031685,0.44602992499858374,5.558201943472186e-13,1.4015154147097457e-16,0.0006470232159070082,bounded_joint_03,rq4_joint,False
10.0,1.0,0.708490738092215,0.15317782377278527,uniform,20.0,0.0,0.0,SS,0.0,1.6527267561191468,1.0998970647667075,1.0495297331651685,0.9518016011871411,0.0,FGM,3D_Fourier_Q2,0,32,121,5.902507901574693e-05,5.9761963697310706e-05,1.2484264211949363,1.8372053769708974,1.8525550195315774,14.739852252498215,14.723554300064954,0.11057066349154966,0.15802165430455692,0.05,36.677524720637884,11.364006801338032,6.640340520454602,0.9240928812830523,0.040481669401650426,0.0009197658624704534,98.90408493052841,0.007504395007085093,0.05091228106308867,0.8333578333791067,-0.4875,-0.4875,0.741288978002558,0.4361540120007703,6.018368499491013e-13,1.5481970573613566e-16,0.0005902507901574692,bounded_joint_04,rq4_joint,False
10.0,1.0,1.6590154802199606,0.1752667160677842,uniform,20.0,0.0,0.0,SS,0.0,1.7425549976130803,0.5128589200460771,0.9885650597233719,1.1451388612204554,0.0,FGM,3D_Fourier_Q2,0,32,121,6.292545680151308e-05,6.479372171727073e-05,2.9690128776510236,3.562232301994824,3.58688808661686,20.008734650664444,19.98173670609689,0.13493079417024517,0.17583002362142028,0.05,25.33348151177152,24.518565182280483,18.668743085201527,0.9724146189055559,0.04800357275413398,0.0021543742026781366,98.53506198719803,0.008979390140330697,0.0448773513022428,0.7303599040495594,-0.5,-0.5,0.7668245149980066,0.4605091179982992,5.130075869037168e-13,2.4739456842518497e-16,0.0006292545680151307,bounded_joint_05,rq4_joint,False
10.0,1.0,1.8213086775178708,0.14062891307010145,uniform,20.0,0.0,0.0,SS,0.0,1.9542245094276949,1.3851342025333773,0.9762036686817239,1.0836162687824316,0.0,FGM,3D_Fourier_Q2,0,32,121,6.0180458669043904e-05,6.20940808237026e-05,3.179806530193553,3.6486651288131076,3.674314952841059,19.96340506323207,19.936209373797308,0.13622770939438683,0.17898554507677297,0.05,24.309232547655895,25.796718109650755,19.98641241723157,0.9318445037296983,0.04747524300053344,0.00222510317625672,98.5396000531462,0.00888853916028898,0.04452416374925913,0.7185862425874673,-0.5,-0.5,0.8194924729978084,0.5186731639987556,4.2283547082629665e-13,2.7947630085594103e-16,0.000601804586690439,bounded_joint_06,rq4_joint,False
10.0,1.0,1.1080624774670693,0.11083967542090908,uniform,20.0,0.0,0.0,SS,0.0,1.8087836724391528,0.641362092783657,1.1024464924701514,1.102982985480602,0.0,FGM,3D_Fourier_Q2,0,32,121,6.266732621773937e-05,6.392739665987376e-05,2.010729543105498,3.257784329755026,3.2776162343206106,21.640528085016893,21.619938494433367,0.0951436605550313,0.16522120962883818,0.05,30.397864701975802,21.22433889513419,14.65009523576155,1.208921260602087,0.054827873026234715,0.001911477033429862,98.61980103860257,0.010219693490025068,0.04722478790662973,0.781554398994915,-0.5,-0.5,0.7541547150030965,0.4286598510007025,3.829958712464086e-13,2.0051874754814175e-16,0.0006266732621773937,bounded_joint_07,rq4_joint,False
10.0,1.0,1.2232989834580117,0.14964820855425398,uniform,20.0,0.0,0.0,SS,0.0,2.4331096067184594,1.003301330583246,0.8741343700413399,0.9288479932240801,0.0,FGM,3D_Fourier_Q2,0,32,121,5.1917670920982126e-05,5.307664280526213e-05,2.232326419349472,1.959355171249723,1.9719255335186023,12.395246997303998,12.386219540227694,0.07282998941663883,0.16738739354989035,0.05,29.085712674159268,12.829935345348318,9.105346334943649,0.6723768996292718,0.030932319956872543,0.001158742955127498,98.58362652885626,0.005770028067140517,0.04655032746338589,0.7693226336414493,-0.5,-0.5,0.8177563639983418,0.4721159870023257,4.4015088451297816e-13,2.014577448365408e-16,0.0005191767092098212,bounded_joint_08,rq4_joint,False
10.0,1.0,1.2650825069754676,0.19466469586846552,uniform,20.0,0.0,0.0,SS,0.0,2.0015303759051086,0.859916160975755,0.941043371336268,0.9724167501727037,0.0,FGM,3D_Fourier_Q2,0,32,121,5.4096757040307434e-05,5.53469467618857e-05,2.3110252628392356,2.1783215888594354,2.1924792420299273,13.568413888772804,13.5586609725916,0.07187955984505177,0.16818263514819218,0.05,28.6487246671709,14.304545618089053,10.242023914005268,0.7282433671328202,0.033693181083903234,0.0012915709429046928,98.57362282946731,0.006286783978342055,0.04633396379175308,0.7650962152889982,-0.5,-0.5,0.8045793279961799,0.4560058479983127,4.350056442218592e-13,2.418078957526581e-16,0.0005409675704030743,bounded_joint_09,rq4_joint,False
