slenderness,aspect,gradation,porosity,pattern,deltaT,bottomT,pressure,support,etaB,E_exponent,k_exponent,E_scale,alpha_scale,nonlocal_length,material,reference,nx,nz,p,w3,wp,w_error,sx3_max,sxp_max,sx3_abs,sxp_abs,sxpeak_error,sx_error,edge_x,edge_sx_error,edge_sx3_abs,edge_sxp_abs,edge_sz3_abs,txz3_max,txzp_max,txz_error,txz_diff_MPa,txz_error_inplane_scale,sz_error_scale,sx3_peak_zh,sxp_peak_zh,solid_seconds,plate_seconds,solid_residual,plate_residual,w_over_h,case_id,group,screen_pass
5.0,1.0,0.5,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,3.1837970652403696e-05,3.301544208411774e-05,3.698324383074803,2.129573558339909,2.1516972190474077,17.834641012315128,17.81364436438722,0.11772957982958399,0.14668639994185298,0.1,36.180969998088536,11.001930043302675,7.942787569789426,0.8454959712417273,0.10011302678620758,0.00038472053112039584,99.95365921605473,0.06660278796712361,0.3734461934004056,0.8921025322251178,-0.4875,-0.4875,0.7745401789943571,0.4441258939987165,1.5883299475152259e-13,1.2788043960453135e-16,0.00015918985326201848,map_s5_g0.5_phi0,rq2,False
10.0,1.0,0.5,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,6.553598121814953e-05,6.612376744889337e-05,0.8968908679146446,2.1309006169508535,2.151592521289237,17.834542727812448,17.813795655233484,0.11633083559023687,0.15459942417366643,0.05,41.88666477534163,11.335358472836118,5.852048539647666,1.220914457096785,0.052735236434596475,0.0007418403674424698,99.22132595541868,0.009641039162479612,0.05405823580463712,0.8661919895213872,-0.4875,-0.4875,0.92064261300402,0.4664258039993001,5.383780019052721e-13,1.2978326902421166e-16,0.0006553598121814952,map_s10_g0.5_phi0,rq2,False
20.0,1.0,0.5,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,0.00013200206707329623,0.00013229397835186587,0.22114144501051827,2.1335933166757224,2.1512394437191342,17.83480810230386,17.814305861042303,0.11495633226863929,0.15888918717562103,0.025,44.39528919443394,12.339461368485875,7.126584201377498,1.9183323118050157,0.06294063054559729,0.0012975183847683672,98.93380488489277,0.013879938848175616,0.07782499687441345,0.8269394341797339,-0.4875,-0.4875,0.7901623869984178,0.4263231239965535,1.9522996616373224e-12,1.1563365884684007e-16,0.0026400413414659246,map_s20_g0.5_phi0,rq2,False
40.0,1.0,0.5,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,0.00026446920800039136,0.0002646111865744004,0.05368434952504201,2.1398478947800443,2.1504172325587865,17.83931147857114,17.815493976475302,0.13351133043698002,0.16501141197036395,0.0125,41.5377710229765,17.74925228633408,8.735093290683956,2.0171594144632015,0.06147122272085666,0.0017278948053871365,99.17865153398287,0.02010860495826357,0.11272074587866433,0.7432368217591839,-0.4875,-0.4875,0.7903942949997145,0.4263224220048869,1.0099279732648528e-11,1.3956231893541588e-16,0.010578768320015653,map_s40_g0.5_phi0,rq2,False
5.0,1.0,1.0,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,2.7254029567097425e-05,2.9339566295248492e-05,7.652214227685593,3.042862309543999,3.0623104876670317,21.37318685917191,21.34843719761614,0.11579771289534804,0.1570520984358113,0.1,28.763765398625466,16.185288281439718,10.800483980642921,0.7820610729695017,0.1077154512775188,0.0009137913439474316,99.8217684215604,0.06973966279593188,0.3262951063658901,0.8145570824410354,-0.5,-0.5,0.8035206639979151,0.47047050700348336,1.4110517075729406e-13,1.9535913517665602e-16,0.00013627014783548712,map_s5_g1_phi0,rq2,False
10.0,1.0,1.0,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.7934389100162766e-05,5.897726581968518e-05,1.8000996225564483,3.045159082210202,3.062110019856063,21.37348117863016,21.34882838173238,0.11534291813180632,0.16322821266667667,0.05,31.792656452229842,19.829633115951292,13.25916247089647,1.2279009671686631,0.05505635729939731,0.0017676117232254163,98.66792905732935,0.010255446235554298,0.04798210525390686,0.7939237791324336,-0.5,-0.5,0.7633318770022015,0.5311340300031588,4.4700743880631364e-13,1.8742834627138326e-16,0.0005793438910016276,map_s10_g1_phi0,rq2,False
20.0,1.0,1.0,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,0.00011758210679659838,0.00011810360318323034,0.44351679081076295,3.0481779630242323,3.061424487432295,21.373836802930313,21.350166099713626,0.11074615865618159,0.1666266525856044,0.025,33.23551043079561,21.03935560392114,15.2132949365491,2.0467393287166615,0.06835305262447998,0.003125086730933693,98.41242055471652,0.015331707263349401,0.07173118895151684,0.7592155072777549,-0.5,-0.5,0.7799189360011951,0.4486439669999527,1.6807264489311294e-12,1.6700904805963097e-16,0.0023516421359319676,map_s20_g1_phi0,rq2,False
40.0,1.0,1.0,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,0.0002360208848851437,0.0002362817651611696,0.11053270821895897,3.0540224036918,3.0597691089465777,21.3779065697946,21.353396332871487,0.11465218468932807,0.16945988042243343,0.0125,30.047984367670857,27.092362130973704,17.353975446729468,2.538885900771009,0.06978430773315145,0.004269187755371772,99.10309853639792,0.0228944469984035,0.1070939613458301,0.6810338683260297,-0.5,-0.5,0.8027401969957282,0.4388231760021881,6.382416897639422e-12,1.466235851094267e-16,0.009440835395405748,map_s40_g1_phi0,rq2,False
5.0,1.0,5.0,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,4.541899981989808e-05,5.166078446959579e-05,13.742673054115082,22.36950862690087,22.249592839505613,31.203465292705477,31.16340385002757,0.1283878002077824,0.23660475277113058,0.1,19.82960692272401,65.61597040909206,53.72374819416521,1.352740727298751,0.19711575160900657,0.0018885242471750646,99.69543123819864,0.12259736649230615,0.39289663933868113,0.6554258101111706,0.5,0.5,0.8674327159969835,0.4619031640031608,1.476311335763421e-13,4.795542841356148e-16,0.0002270949990994904,map_s5_g5_phi0,rq2,False
10.0,1.0,5.0,0.0,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,0.0001025838429799956,0.00010570557916374888,3.0431070752165486,22.45142415321115,22.25246695764171,31.202659053370205,31.164090859509805,0.12360547155429458,0.23628979846777726,0.05,19.756673131858616,72.51560294025522,61.04474015251015,1.2519554244541558,0.07715425927750186,0.0036962121882108886,99.02955697935857,0.014417460702355292,0.046205871998585515,0.6297109477590523,0.5,0.5,0.8070522810012335,0.4490540529950522,6.883167645353997e-13,4.723582398282974e-16,0.0010258384297999559,map_s10_g5_phi0,rq2,False
