quarter_n,nz,grading_power,seconds,residual,w_difference_percent,centre_stress_difference_percent,edge_stress_difference_percent,top_edge_sigma_zz_MPa,quarter_full_stress_difference_percent
6,8,1,0.9736261789948912,5.5621466933377656e-14,0.008504762387606668,0.5400861919913155,20.938748711490486,7.4295154112580795,0.09566542951153495
10,8,2,6.382125352000003,7.479423988960049e-14,0.008931218636432092,0.7340598218413906,1.5360222267539074,0.3847739683691731,
14,10,2,29.252403908001725,1.4158277496826124e-13,0.0025880150904544763,0.2932384236968346,1.1679804951584793,0.30707582968838637,
