slenderness,d_over_h,x_over_a,stress_error,ref_stress_norm_MPa,ref_peak_MPa,plate_peak_MPa
5,0.25,0.05,45.751880321889246,7.741784387899642,25.4579276416932,10.691134635364502
5,0.5,0.1,28.702035318372072,6.971717449393402,13.240769002743951,8.720438070140625
5,0.75,0.15000000000000002,11.366155534868653,6.952443310338108,11.398013960298117,10.509510479270983
5,1.0,0.2,3.074585673275647,7.731355974316966,12.39434771205524,12.176274171249874
5,1.5,0.30000000000000004,0.09149474993099892,9.623311832997597,14.930099350699509,14.924040477075765
5,2.0,0.4,0.08589070723691249,10.90533254815098,16.67181546288469,16.663281504837673
5,2.5,0.5,0.07841386111997525,11.34176015112621,17.261697347684457,17.251826520830893
10,0.25,0.025,46.56590246788639,7.63890587082876,26.816070132789463,12.359840075189725
10,0.5,0.05,31.49345460593128,6.391353165725139,16.402597091105907,10.830831071839626
10,0.75,0.07500000000000001,14.429028697499794,5.541846888901697,10.857767996823702,9.158917947064378
10,1.0,0.1,4.449526888803471,5.524780175250382,9.001992692505686,8.721135907730156
10,1.5,0.15000000000000002,0.19026467637125224,6.465825605458047,10.519750800523704,10.509489053800356
10,2.0,0.2,0.09335309835368062,7.618772161312297,12.185572709119677,12.176263363797688
10,2.5,0.25,0.08288764805695384,8.695150465782596,13.671327521410063,13.661922249469365
10,3.0,0.30000000000000004,0.07899359216452122,9.622944766567072,14.93329776099179,14.924060649491231
10,4.0,0.4,0.07968811236024613,10.905986648069018,16.673470842157126,16.663318079391903
10,5.0,0.5,0.08067001787469873,11.341801770228528,17.261880785709096,17.251868323731266
20,0.25,0.0125,47.06757896759069,7.618039037774144,26.946683075702314,13.11542963677373
20,0.5,0.025,32.52896526494813,6.2569847344654566,17.751526384946295,12.495602501911028
20,0.75,0.037500000000000006,15.935981242800986,5.124959858598077,13.156708017341602,11.670726284048573
20,1.0,0.05,5.5048715296527515,4.725194362625912,11.026459368322435,10.83112111852685
20,1.5,0.07500000000000001,0.5087471389874875,4.8882207428126865,8.997322079302437,9.157629156005534
20,2.0,0.1,0.26963299057062706,5.3560017529532855,8.735331518992288,8.720859091099156
20,2.5,0.125,0.20372799199896113,5.894128381220168,9.643037775149322,9.627939121782557
20,3.0,0.15000000000000002,0.151927335478373,6.4652102569776435,10.519734102412492,10.509351597095998
20,4.0,0.2,0.0986980846603575,7.6198784387199,12.187851919449455,12.176220992546238
20,5.0,0.25,0.08192786095929691,8.695216608454073,13.67151353666771,13.66194833330823
20,7.5,0.375,0.08038386600840298,10.662325971984998,16.342721926870745,16.332594775538073
20,10.0,0.5,0.08262436180057976,11.341790699426626,17.261912597977577,17.252028617508817
40,0.25,0.00625,44.83376902011566,7.706740706221892,31.230472377122304,14.243827972271742
40,0.5,0.0125,33.37389586527081,6.219799811934689,17.920458261013245,13.225034145313197
40,0.75,0.018750000000000003,14.458308650570462,5.057575242587864,15.74195205322801,13.201819314475715
40,1.0,0.025,6.41472510085028,4.512149462858956,12.391711829341244,12.482684414118086
40,1.5,0.037500000000000006,1.202844829982547,4.388907797526106,11.304718543938021,11.660710234622227
40,2.0,0.05,0.780903120426756,4.517263213699006,10.570009814073456,10.823776125289891
40,2.5,0.0625,0.6100023739644168,4.68667904091982,9.795218262491792,9.985950149448458
40,3.0,0.07500000000000001,0.4797140597293653,4.885684818418474,9.00192208730452,9.153089580251546
40,4.0,0.1,0.3114372054280924,5.3566179019350235,8.737727318842493,8.719914120016456
40,5.0,0.125,0.21390620166625085,5.89352668807148,9.643082204808039,9.627262100018037
40,7.5,0.1875,0.10572462718160879,7.3346668686530485,11.784701893615258,11.772615442750658
40,10.0,0.25,0.07917670869205116,8.695088269207913,13.671494157016022,13.662037798552515
40,15.0,0.375,0.08036103621266293,10.662333219656155,16.342829257380444,16.333034783293506
40,20.0,0.5,0.08357842336837296,11.341828753840298,17.262058834506693,17.25257609258625
